Pais,Capital,Colores_Bandera,processed_at
Argentina,Buenos Aires,"Celeste, Blanco",2025-10-31T02:16:52.639634
Brasil,Brasilia,"Verde, Amarillo, Azul",2025-10-31T02:16:52.639634
Chile,Santiago,"Rojo, Blanco, Azul",2025-10-31T02:16:52.639634
Colombia,Bogotá,"Amarillo, Azul, Rojo",2025-10-31T02:16:52.639634
España,Madrid,"Rojo, Amarillo",2025-10-31T02:16:52.639634
Francia,París,"Azul, Blanco, Rojo",2025-10-31T02:16:52.639634
Italia,Roma,"Verde, Blanco, Rojo",2025-10-31T02:16:52.639634
Japón,Tokio,"Blanco, Rojo",2025-10-31T02:16:52.639634
México,Ciudad de México,"Verde, Blanco, Rojo",2025-10-31T02:16:52.639634
Estados Unidos,Washington D.C.,"Rojo, Blanco, Azul",2025-10-31T02:16:52.639634
